Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
04-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.388201
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.603295
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687665
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.538687
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687761
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.450578
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
03-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687761
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.603295
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.398418
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687665
02-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
