Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
03-2023,Hors TVA,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,72.679882
03-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,67.27585
03-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,72.394877
03-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,73.670081
03-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,70.369781
03-2023,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Prix indicatif, segment A",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment A,Production non définie,Production,81
02-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,75.428012
02-2023,Hors TVA,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,74.684824
02-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,74.209859
02-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,71.8217
02-2023,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Lait conventionnel, total",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment A,Production non définie,Production,81
02-2023,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Prix indicatif, segment A",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment A,Production non définie,Production,81
02-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 4,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,75.228566
02-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,79.161583
02-2023,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé artisanalement en fromage (conventionnel),Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,82.744596
